NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO
175,247,ESCOLA MUNICIPAL DO CAIC CANDIDO PORTINARI
175,290,COLÉGIO ESTADUAL NIRLEI MEDEIROS
178,110,COLÉGIO IMACULADA CONCEIÇÃO
4,518,CEI - CENTRO DE EDUCAÇÃO INFANTIL OLIVIO SOARES SABOIA (MUNICIPAL)
175,35,ESCOLA MUNICIPAL DOM BOSCO
145,493,1511- ESCOLA MUNICIPAL BAIRRO NOVO CAIC-145ªZE - CURITIBA
1,426,ESCOLA MUNICIPAL JULIA AMARAL DI LENNA
174,407,COLÉGIO ESTADUAL PROFESSOR JÚLIO MESQUITA
174,222,COLÉGIO ESTADUAL MILTON CARNEIRO
4,682,COLEGIO ESTADUAL AVELINO ANTONIO VIEIRA
4,329,ESCOLA MUNICIPAL HEITOR ALENCAR FURTADO
177,418,ESCOLA MUNICIPAL MIGUEL KRUG
177,708,PONTIFICIA UNIVERSIDADE CATOLICA DO PARANÁ (PUC/PR)
4,585,ESCOLA MUNICIPAL PRESIDENTE TANCREDO DE ALMEIDA NEVES
3,310,COLÉGIO ESTADUAL CONSELHEIRO CARRÃO
174,33,COLEGIO PROFESSOR VICTOR DO AMARAL
178,439,COLÉGIO ARQUIDIOCESANO DE CURITIBA
178,435,COLÉGIO ARQUIDIOCESANO DE CURITIBA
177,580,FACULDADE DE DIREITO DA UNIVERSIDADE FEDERAL DO PARANA
3,342,ESCOLA ESTADUAL SÃO PAULO APÓSTOLO
175,182,ESCOLA MUNICIPAL PROFESSORA AMERICA DA COSTA SABOIA
1,383,COLEGIO BOM JESUS DIVINA PROVIDENCIA (PARTICULAR)
174,38,COLEGIO PROFESSOR VICTOR DO AMARAL
1,354,COLEGIO VICENTINO SAO JOSE (PARTICULAR)
178,148,COLÉGIO ESTADUAL SANTA FELICIDADE
177,368,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
1,618,COLÉGIO CATÓLICA DE CURITIBA
3,56,ESCOLA MUNICIPAL PREFEITO LINNEU FERREIRA DO AMARAL
4,630,UNIVERSIDADE POSITIVO
177,458,UFPR -  SETOR DE CIÊNCIAS SOCIAIS APLICADAS
178,456,COLÉGIO ESTADUAL PROFESSOR OLAVO DEL CLARO
145,726,1872 - COLEGIO ESTADUAL PROFESSORA IARA BERGMANN - 145ª ZE - CURITIBA
177,601,ESCOLA ESTADUAL TIRADENTES (CEAD POLO POTTY LAZAROTTO)
177,165,ESCOLA ESTADUAL JOAO TURIN
177,368,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
174,300,ESCOLA MUNICIPAL PROFESSOR FRANCISCO HUBERT
176,314,ESCOLA CEC
175,113,ESCOLA ESTADUAL GUILHERME PEREIRA NETO
176,435,COLÉGIO ESTADUAL HOMERO BAPTISTA DE BARROS
175,411,ESCOLA MUNICIPAL DONA POMPILIA
176,562,ESCOLA MUNICIPAL FRANCISCO DEROSSO
178,684,ESCOLA MUNICIPAL CEI PADRE FRANCISCO MESZNER
176,533,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
176,256,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
145,756,1813 - COLEGIO ESTADUAL BENEDICTO JOAO CORDEIRO - 145 ª ZE - CURITIBA
4,608,ESCOLA MUNICIPAL COLONIA AUGUSTA
178,487,ESCOLA MUNICIPAL CEI PEDRO DALLABONA
4,597,COLEGIO ESTADUAL TEOTONIO VILELA
2,316,ESCOLA ESTADUAL SANTA CANDIDA
145,368,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
4,627,COLEGIO ESTADUAL PROTASIO DE CARVALHO
4,627,COLEGIO ESTADUAL PROTASIO DE CARVALHO
1,704,SETOR DE CIENCIAS AGRARIAS
174,32,COLEGIO PROFESSOR VICTOR DO AMARAL
4,575,COLEGIO ESTADUAL TEOTONIO VILELA
174,91,ESCOLA MUNICIPAL PROFESSOR FRANCISCO HUBERT
4,512,COLÉGIO ESTADUAL PROFESSORA HILDEGARD SONDAHL - EFM
174,87,ESCOLA MUNICIPAL PROFESSOR FRANCISCO HUBERT
4,233,COLEGIO ESTADUAL PEDRO MACEDO
174,342,SESI BOQUEIRÃO
174,284,COLÉGIO ESTADUAL EUZEBIO DA MOTTA
4,210,ASPP - ASSOCIACAO DOS SERVIDORES PUBLICOS DO PARANA
1,651,CURSO DE COMUNICACÃO SOCIAL DA UFPR
176,533,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
178,664,ESCOLA MUNICIPAL PRESIDENTE PEDROSA
178,560,ESCOLA SANTA TERESINHA DO MENINO JESUS
174,417,SESI BOQUEIRÃO
145,748,1783 - CEI CARLOS DRUMMOND DE ANDRADE - 145ºZE - CURITIBA
145,675,1945-COLEGIO NOSSA SENHORA DO SAGRADO CORAÇÃO - 145ªZE-CURITIBA
145,738,2186-COLEGIO ESTADUAL INEZ VICENTE BOROCZ - 145ªZE - CURITIBA
175,451,ESCOLA MUNICIPAL PROFESSORA JOANA RAKSA
4,681,COLEGIO ESTADUAL AVELINO ANTONIO VIEIRA
1,539,ESCOLA MUNICIPAL CEI ULYSSES SILVEIRA GUIMARAES
1,718,ASSOCIAÇÃO EDUCATIVA STELLA MARIS
178,519,FACULDADE PARANAENSE - FAPAR
178,715,ESCOLA ESTADUAL DE EDUCAÇÃO ESPECIAL LUCY REQUIÃO MELLO E SILVA
178,298,COLÉGIO ESTADUAL ÂNGELO VOLPATO
3,473,ESCOLA MUNICIPAL CORONEL DURIVAL BRITTO E SILVA
177,168,ESCOLA ESTADUAL JOAO TURIN
3,619,ESCOLA ESTADUAL REPÚBLICA ORIENTAL DO URUGUAI
2,530,ESCOLA MUNICIPAL ARAUCARIA
3,316,ESCOLA MUNICIPAL PROFESSORA DONATILA CARON DOS ANJOS
178,491,ESCOLA MUNICIPAL CEI RAOUL WALLENBERG
178,407,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
3,330,ESCOLA MUNICIPAL PROFESSOR JOÃO  MACEDO FILHO
3,473,ESCOLA MUNICIPAL CORONEL DURIVAL BRITTO E SILVA
177,524,FACULDADE UNINTER (DIVINA PROVIDÊNCIA)
177,168,ESCOLA ESTADUAL JOAO TURIN
174,367,ESCOLA MUNICIPAL PROFESSOR FRANCISCO HUBERT
2,472,COLÉGIO MADALENA SOFIA
1,679,COLEGIO DOM BOSCO
1,575,ESCOLA MUNICIPAL CEI ROMARIO MARTINS
178,700,ESCOLA MUNICIPAL VEREADOR JOÃO STIVAL
1,742,COLEGIO ESTADUAL PROFESSOR GUIDO STRAUBE
176,407,COLÉGIO SOCIAL MADRE CLELIA
178,386,COLÉGIO SION
178,361,COLÉGIO ESTADUAL JÚLIA WANDERLEY
