NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO
3,546,ESCOLA MUNICIPAL MICHEL KHURY
145,730,2178 - COLEGIO ESTADUAL FLAVIO FERREIRA DA LUZ - 145ª ZE - CURITIBA
175,135,COLÉGIO ESTADUAL PROFESSOR BRASILIO VICENTE DE CASTRO
4,236,COLEGIO ESTADUAL PEDRO MACEDO
4,465,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS
4,591,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS
4,309,ESCOLA MUNICIPAL SAO MIGUEL
175,311,ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO
2,319,ESCOLA ESTADUAL SANTA CANDIDA
174,307,COLÉGIO ESTADUAL EUZEBIO DA MOTTA
178,106,COLÉGIO IMACULADA CONCEIÇÃO
4,196,COLEGIO ESTADUAL PAULA GOMES
177,118,UNICURITIBA (CENTRO UNIVERSITÁRIO CURITIBA)
177,172,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
4,490,CEI - CENTRO DE EDUCAÇÃO INFANTIL OLIVIO SOARES SABOIA (MUNICIPAL)
177,722,COLÉGIO DECISIVO DO CRISTO REI - SUBSEDE I
1,521,COLEGIO VICENTINO SAO JOSE (PARTICULAR)
1,521,COLEGIO VICENTINO SAO JOSE (PARTICULAR)
1,494,ESCOLA MUNICIPAL HERLEY MEHL
175,369,ESCOLA MUNICIPAL DO CAIC CANDIDO PORTINARI
177,417,ESCOLA MUNICIPAL MIGUEL KRUG
3,683,ESCOLA MUNICIPAL ELZA LERNER
145,845,2240-COLEGIO ESTADUAL PROFESSOR GUIDO ARZUA - 145ªZE - CURITIBA
178,130,ESCOLA MUNICIPAL FOZ DO IGUACU
3,483,ESCOLA ESTADUAL SANTA ROSA
177,402,COLEGIO SAGRADO CORACAO DE JESUS
177,477,SENAC - SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL
177,417,ESCOLA MUNICIPAL MIGUEL KRUG
174,99,CEI MAESTRO BENTO MOSSURUNGA
3,664,ESCOLA MUNICIPAL PROFESSORA MARIA DE LOURDES LAMAS PEGORARO
3,517,ESCOLA MUNICIPAL C.E.I. ISSA NACLI
176,506,COLÉGIO ESTADUAL PROFESSOR NARCISO MENDES
178,545,INSTITUTO PARANAENSE DOS CEGOS
178,674,ESCOLA ESTADUAL SANTO ANTÔNIO
1,639,ESCOLA MUNICIPAL TANIRA REGINA SCHMIDT
177,362,ESCOLA ESTADUAL LAMENHA LINS
1,377,COLEGIO BOM JESUS DIVINA PROVIDENCIA (PARTICULAR)
3,442,ESCOLA ESTADUAL SÃO PAULO APÓSTOLO
3,83,ESCOLA ESTADUAL DEPUTADO OLÍVIO BELICH
176,368,ESCOLA MUNICIPAL FRANCISCO DEROSSO
145,724,2186-COLEGIO ESTADUAL INEZ VICENTE BOROCZ - 145ªZE - CURITIBA
177,639,COLEGIO ESTADUAL SANTOS DUMONT
4,506,COLEGIO ESTADUAL PEDRO MACEDO
145,680,ESCOLA MUNICIPAL PROFESSORA JURANDYR BAGGIO MOCKELL
176,429,ESCOLA MUNICIPAL PARANAVAÍ
174,322,COLEGIO ESTADUAL SANTO AGOSTINHO
2,285,ESCOLA ESTADUAL NOSSA SENHORA DA SALETE (ANTIGO COLÉGIO AMANCIO MORO)
2,204,ESCOLA MUNICIPAL CARAMURU
176,427,ESCOLA MUNICIPAL PARANAVAÍ
2,543,SALAO DA IGREJA DE SANTA CANDIDA
1,409,COLEGIO ESTADUAL GELVIRA CORREA PACHECO
1,189,COLEGIO ESTADUAL BENTO MUNHOZ DA ROCHA NETO
177,583,FACULDADE DE DIREITO DA UNIVERSIDADE FEDERAL DO PARANA
1,192,COLEGIO ESTADUAL BENTO MUNHOZ DA ROCHA NETO
175,114,ESCOLA MUNICIPAL CEI PROFESSOR ANTONIO PIETRUZA
176,279,ESCOLA GRACE (ANTIGA FACULDADE SANTA CRUZ - CAMPUS BONAT)
174,196,COLÉGIO ESTADUAL POLIVALENTE DE CURITIBA
174,198,COLÉGIO ESTADUAL PROFESSORA LUIZA ROSS
176,168,ESCOLA MUNICIPAL PROFESSORA NAIR DE MACEDO
176,358,ESCOLA MUNICIPAL DAVID CARNEIRO
174,358,COLÉGIO ADVENTISTA DO ALTO BOQUEIRÃO
1,409,COLEGIO ESTADUAL GELVIRA CORREA PACHECO
177,566,COLÉGIO BOM JESUS - NOSSA SENHORA DE LOURDES (CRISTO REI)
174,140,ESCOLA MUNICIPAL LEONOR CASTELLANO
174,23,ESCOLA MUNICIPAL PROFESSOR GERMANO PARCIORNIK
177,743,COLÉGIO ESTADUAL PAULO LEMINSKI
177,507,SOCIEDADE BENEFICENTE MORGENAU
178,286,CEMEI PROFESSORA LYGIA CARNEIRO
145,707,1937 - ESCOLA MUNICIPAL PAULO FREIRE - 145ª ZE - CURITIBA
145,707,1937 - ESCOLA MUNICIPAL PAULO FREIRE - 145ª ZE - CURITIBA
145,707,1937 - ESCOLA MUNICIPAL PAULO FREIRE - 145ª ZE - CURITIBA
145,707,1937 - ESCOLA MUNICIPAL PAULO FREIRE - 145ª ZE - CURITIBA
177,362,ESCOLA ESTADUAL LAMENHA LINS
174,2,COLÉGIO ESTADUAL GOTTLIEB MUELLER
177,574,COLÉGIO BOM JESUS - NOSSA SENHORA DE LOURDES (CRISTO REI)
178,455,COLÉGIO ESTADUAL PROFESSOR OLAVO DEL CLARO
174,361,ESCOLA MUNICIPAL PROFESSOR GUILHERME BUTLER
174,334,SESI BOQUEIRÃO
1,720,ASSOCIAÇÃO EDUCATIVA STELLA MARIS
178,656,COLÉGIO ESTADUAL DOMINGOS ZANLORENZI
4,427,CEI - CENTRO DE EDUCAÇÃO INFANTIL OLIVIO SOARES SABOIA (MUNICIPAL)
177,528,ESCOLA MUNICIPAL BATEL (ESCOLA ESTADUAL DEZENOVE DE DEZEMBRO)
177,257,COLEGIO SAGRADO CORACAO DE JESUS
3,531,ESCOLA MUNICIPAL IRATI
177,703,PONTIFICIA UNIVERSIDADE CATOLICA DO PARANÁ (PUC/PR)
4,629,COLÉGIO EFETIVO (PARTICULAR)
177,513,COLEGIO BOM JESUS (CENTRO)
178,490,ESCOLA MUNICIPAL CEI RAOUL WALLENBERG
176,168,ESCOLA MUNICIPAL PROFESSORA NAIR DE MACEDO
3,417,ESCOLA MUNICIPAL AYRTON SENNA DA SILVA
145,530,1627 - CEI PROFESSOR JOSE CAVALLIN - 145ª ZE - CURITIBA
3,576,PARÓQUIA SÃO PAULO APÓSTOLO
176,476,COLÉGIO ESTADUAL EMÍLIO DE MENEZES
1,596,COLEGIO MARISTA SANTA MARIA (PARTICULAR)
145,370,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
1,760,ESCOLA VICENTINA NOSSA SENHORA DAS MERCES
2,360,ESCOLA ESTADUAL MARIA MONTESSORI
2,360,ESCOLA ESTADUAL MARIA MONTESSORI
2,360,ESCOLA ESTADUAL MARIA MONTESSORI
2,360,ESCOLA ESTADUAL MARIA MONTESSORI
2,360,ESCOLA ESTADUAL MARIA MONTESSORI
2,573,COLEGIO ESTADUAL  ERMELINO DE LEAO
2,573,COLEGIO ESTADUAL  ERMELINO DE LEAO
2,573,COLEGIO ESTADUAL  ERMELINO DE LEAO
2,573,COLEGIO ESTADUAL  ERMELINO DE LEAO
2,573,COLEGIO ESTADUAL  ERMELINO DE LEAO
2,558,COLÉGIO MADALENA SOFIA
2,558,COLÉGIO MADALENA SOFIA
2,558,COLÉGIO MADALENA SOFIA
2,558,COLÉGIO MADALENA SOFIA
2,558,COLÉGIO MADALENA SOFIA
2,542,COLÉGIO PASSIONISTA N. S. MENINA
174,143,ESCOLA MUNICIPAL NIVALDO BRAGA
177,443,SENAC - SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL
3,347,ESCOLA ESTADUAL SÃO PAULO APÓSTOLO
178,101,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
4,584,FACULDADE PADRE JOÃO BAGOZZI (PARTICULAR)
3,111,COLÉGIO ESTADUAL SENHORINHA DE MORAES SARMENTO
174,139,ESCOLA MUNICIPAL LEONOR CASTELLANO
4,235,COLEGIO ESTADUAL PEDRO MACEDO
3,382,ESCOLA ESTADUAL DEPUTADO OLÍVIO BELICH
174,375,ESCOLA MUNICIPAL PROFESSORA SOPHIA GAERTNER ROSLINDO - EF
177,674,INSTITUTO DE EDUCACAO PROFESSOR ERASMO PILOTTO
177,443,SENAC - SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL
3,691,ESCOLA ESTADUAL SÃO PAULO APÓSTOLO
3,571,ESCOLA MUNICIPAL MICHEL KHURY
4,235,COLEGIO ESTADUAL PEDRO MACEDO
4,515,ESCOLA MUNICIPAL PROFESSOR FRANCISCO KLENTZ
174,49,COLÉGIO NOSSA SENHORA DA ASSUNCAO
178,431,COLÉGIO ARQUIDIOCESANO DE CURITIBA
176,221,UNISANTA CRUZ - CAMPUS SEDE
176,152,COLÉGIO ESTADUAL JOÃO BETTEGA
177,667,CURSO POSITIVO (CENTRO)
4,226,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,226,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,226,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,226,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,582,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,582,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,582,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,582,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,582,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,582,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,582,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,582,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
4,240,COLEGIO ESTADUAL PEDRO MACEDO
4,240,COLEGIO ESTADUAL PEDRO MACEDO
4,240,COLEGIO ESTADUAL PEDRO MACEDO
4,240,COLEGIO ESTADUAL PEDRO MACEDO
4,240,COLEGIO ESTADUAL PEDRO MACEDO
4,240,COLEGIO ESTADUAL PEDRO MACEDO
1,119,COLEGIO ESTADUAL ANGELO TREVISAN
177,191,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
174,369,COLÉGIO ESTADUAL MILTON CARNEIRO
1,683,COLEGIO DOM BOSCO
4,205,ASPP - ASSOCIACAO DOS SERVIDORES PUBLICOS DO PARANA
174,203,COLEGIO ADVENTISTA DO BOQUEIRAO
177,562,COLÉGIO BOM JESUS - NOSSA SENHORA DE LOURDES (CRISTO REI)
3,357,ESCOLA ESTADUAL DEPUTADO OLÍVIO BELICH
174,134,ESCOLA MUNICIPAL LEONOR CASTELLANO
177,562,COLÉGIO BOM JESUS - NOSSA SENHORA DE LOURDES (CRISTO REI)
4,240,COLEGIO ESTADUAL PEDRO MACEDO
4,240,COLEGIO ESTADUAL PEDRO MACEDO
4,240,COLEGIO ESTADUAL PEDRO MACEDO
4,240,COLEGIO ESTADUAL PEDRO MACEDO
145,371,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
3,451,COLÉGIO ESTADUAL ANÍBAL KHURY NETO
177,168,ESCOLA ESTADUAL JOAO TURIN
1,531,COLÉGIO ADVENTISTA BOM RETIRO (PARTICULAR)
177,326,COLÉGIO STELLA MARIS (AGUA VERDE)
175,415,ESCOLA MUNICIPAL DO CAIC CANDIDO PORTINARI
175,35,ESCOLA MUNICIPAL DOM BOSCO
175,17,ESCOLA MUNICIPAL ALBERT SCHWEITZER
174,295,COLEGIO ERASTO GAERTNER
174,295,COLEGIO ERASTO GAERTNER
4,448,ESCOLA MUNICIPAL SIDONIO MURALHA
178,556,ESCOLA SANTA TERESINHA DO MENINO JESUS
2,377,COLEGIO ESTADUAL LEONCIO CORREIA
145,504,COLEGIO ESTADUAL LA SALLE
174,228,COLEGIO ESTADUAL SANTO AGOSTINHO
4,437,ESCOLA MUNICIPAL MORADIAS DO RIBEIRAO
174,215,COLÉGIO NOSSA SENHORA DA ASSUNCAO
175,243,ESCOLA MUNICIPAL DO CAIC CANDIDO PORTINARI
4,264,ESCOLA ESTADUAL MARECHAL CANDIDO RONDON
175,27,COLÉGIO ESTADUAL PROFESSOR BRASILIO VICENTE DE CASTRO
3,617,CRECHE MUNICIPAL TRINDADE
174,201,CEEP CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL DE CURITIBA
2,208,COLÉGIO PASSIONISTA N. S. MENINA
2,608,COLEGIO ESTADUAL ANGELO GUSSO
4,441,FACULDADE PADRE JOÃO BAGOZZI (PARTICULAR)
4,452,FACULDADE PADRE JOÃO BAGOZZI (PARTICULAR)
4,319,ESCOLA MUNICIPAL SAO MIGUEL
4,239,COLEGIO ESTADUAL PEDRO MACEDO
174,328,COLEGIO ESTADUAL ROBERTO LANGER JUNIOR
1,546,COLEGIO INTEGRAL (PARTICULAR)
177,621,ESCOLA MUNICIPAL ITACELINA BITTENCOURT
2,129,ESCOLA DUNAMYS ENSINO FUNDAMENTAL (PARTICULAR)
176,540,UNISANTA CRUZ - CAMPUS SEDE
1,546,COLEGIO INTEGRAL (PARTICULAR)
1,362,ESCOLA ESTADUAL ALINE PICHETH
145,622,1945-COLEGIO NOSSA SENHORA DO SAGRADO CORAÇÃO - 145ªZE-CURITIBA
178,449,COLÉGIO ESTADUAL PADRE SILVESTRE KANDORA
174,278,ESCOLA  MUNICIPAL LAPA
3,315,ESCOLA MUNICIPAL PROFESSORA DONATILA CARON DOS ANJOS
145,616,CEI JOSE LAMARTINE CORREA DE OLIVEIRA LYRA
145,802,ESCOLA MUNICIPAL PROFESSORA NATHÁLIA DE CONTO COSTA
176,410,COLÉGIO SOCIAL MADRE CLELIA
174,333,COLÉGIO ADVENTISTA DO ALTO BOQUEIRÃO
177,549,FACULDADE DOM BOSCO
177,624,ESCOLA MUNICIPAL ITACELINA BITTENCOURT
3,544,ESCOLA MUNICIPAL ELZA LERNER
174,230,ESCOLA MUNICIPAL ROLANDIA
3,519,COLÉGIO ESTADUAL ALFREDO PARODI
4,396,ESCOLA ESTADUAL MONSENHOR IVO ZANLORENZI
176,145,COLÉGIO ESTADUAL CÍVICO MILITAR YVONE PIMENTEL
3,600,ESCOLA MUNICIPAL MARUMBI
176,410,COLÉGIO SOCIAL MADRE CLELIA
174,375,ESCOLA MUNICIPAL PROFESSORA SOPHIA GAERTNER ROSLINDO - EF
4,475,COLEGIO ESTADUAL PEDRO MACEDO
4,475,COLEGIO ESTADUAL PEDRO MACEDO
4,475,COLEGIO ESTADUAL PEDRO MACEDO
4,475,COLEGIO ESTADUAL PEDRO MACEDO
4,475,COLEGIO ESTADUAL PEDRO MACEDO
4,475,COLEGIO ESTADUAL PEDRO MACEDO
4,205,ASPP - ASSOCIACAO DOS SERVIDORES PUBLICOS DO PARANA
176,310,ESCOLA CEC
177,623,ESCOLA MUNICIPAL ITACELINA BITTENCOURT
176,244,ESCOLA MUNICIPAL PROFESSORA NAIR DE MACEDO
176,359,ESCOLA MUNICIPAL DAVID CARNEIRO
4,566,ASPP - ASSOCIACAO DOS SERVIDORES PUBLICOS DO PARANA
4,551,ASPP - ASSOCIACAO DOS SERVIDORES PUBLICOS DO PARANA
1,346,COLEGIO VICENTINO SAO JOSE (PARTICULAR)
176,302,COLÉGIO ESTADUAL CÍVICO MILITAR YVONE PIMENTEL
176,446,ESCOLA MUNICIPAL JORNALISTA CLAUDIO ABRAMO
1,528,ESCOLA MUNICIPAL PILARZINHO
176,450,ESCOLA MUNICIPAL JORNALISTA CLAUDIO ABRAMO
4,509,COLEGIO (PARTICULAR) MARTINUS PORTÃO
174,37,COLEGIO PROFESSOR VICTOR DO AMARAL
3,662,COLÉGIO ESTADUAL ALFREDO PARODI
178,356,COLÉGIO ESTADUAL JÚLIA WANDERLEY
174,414,COLÉGIO ESTADUAL PROFESSOR JÚLIO MESQUITA
176,144,ESCOLA MUNICIPAL DR. OSVALDO CRUZ
175,379,ESCOLA ESTADUAL GUILHERME PEREIRA NETO
175,433,ESCOLA MUNICIPAL NEWTON BORGES DOS REIS
3,464,ESCOLA MUNICIPAL PROFESSORA DONATILA CARON DOS ANJOS
4,595,ESCOLA MUNICIPAL LINA MARIA MOREIRA
145,673,1805 - ESCOLA MUNICIPAL SADY SOUSA - 145 ZE - CURITIBA
175,8,ESCOLA MUNICIPAL PRO-MORAR BARIGUI-I
145,783,ESCOLA MUNICIPAL PROFESSORA MIRACY RODRIGUES DE ARAUJO
175,208,COLEGIO ESTADUAL RODOLFO ZANINELLI
177,730,COLÉGIO DECISIVO DO CRISTO REI - SUBSEDE I
175,276,ESCOLA MUNICIPAL MARGARIDA ORSO DALLAGASSA
145,588,1805 - ESCOLA MUNICIPAL SADY SOUSA - 145 ZE - CURITIBA
4,436,ESCOLA MUNICIPAL PAPA JOAO XXIII
1,357,COLEGIO VICENTINO SAO JOSE (PARTICULAR)
177,720,COLÉGIO DECISIVO DO CRISTO REI - SUBSEDE I
176,336,COLÉGIO ESTADUAL JAYME CANET
2,344,COLEGIO ESTADUAL CECILIA MEIRELES
175,450,ESCOLA MUNICIPAL GOVERNADOR LEONEL DE MOURA BRIZOLA
4,632,UNIVERSIDADE POSITIVO
177,644,COLÉGIO ESTADUAL PROFESSOR ELIAS ABRAHÃO
2,63,COLEGIO ESTADUAL LEONCIO CORREIA
4,501,COLEGIO ESTADUAL PAULA GOMES
176,223,COLÉGIO ESTADUAL NEWTON FERREIRA DA COSTA
177,603,ESCOLA ESTADUAL TIRADENTES (CEAD POLO POTTY LAZAROTTO)
174,130,COLEGIO ADVENTISTA DO BOQUEIRAO
4,322,ESCOLA MUNICIPAL SAO MIGUEL
178,378,ESCOLA MUNICIPAL PARANAGUÁ
177,659,ESCOLA ESTADUAL NOSSA SENHORA DE FÁTIMA
145,515,1511- ESCOLA MUNICIPAL BAIRRO NOVO CAIC-145ªZE - CURITIBA
174,372,ESCOLA MUNICIPAL PROFESSOR FRANCISCO HUBERT
176,323,COLÉGIO SENHORA DE FÁTIMA
174,2,COLÉGIO ESTADUAL GOTTLIEB MUELLER
177,574,COLÉGIO BOM JESUS - NOSSA SENHORA DE LOURDES (CRISTO REI)
178,431,COLÉGIO ARQUIDIOCESANO DE CURITIBA
177,603,ESCOLA ESTADUAL TIRADENTES (CEAD POLO POTTY LAZAROTTO)
174,130,COLEGIO ADVENTISTA DO BOQUEIRAO
4,322,ESCOLA MUNICIPAL SAO MIGUEL
177,659,ESCOLA ESTADUAL NOSSA SENHORA DE FÁTIMA
177,128,ESCOLA MUNICIPAL DESEMBARGADOR MARCAL JUSTEN
176,317,COLÉGIO STELLA MARIS XAXIM
2,634,COLÉGIO ADVENTISTA UNIDADE BOA VISTA
178,357,COLÉGIO ESTADUAL JÚLIA WANDERLEY
3,582,ESCOLA MUNICIPAL MICHEL KHURY
145,786,2240-COLEGIO ESTADUAL PROFESSOR GUIDO ARZUA - 145ªZE - CURITIBA
145,798,2240-COLEGIO ESTADUAL PROFESSOR GUIDO ARZUA - 145ªZE - CURITIBA
145,596,1783 - CEI CARLOS DRUMMOND DE ANDRADE - 145ºZE - CURITIBA
145,840,2178 - COLEGIO ESTADUAL FLAVIO FERREIRA DA LUZ - 145ª ZE - CURITIBA
145,722,2178 - COLEGIO ESTADUAL FLAVIO FERREIRA DA LUZ - 145ª ZE - CURITIBA
145,520,1783 - CEI CARLOS DRUMMOND DE ANDRADE - 145ºZE - CURITIBA
178,671,ESCOLA ESTADUAL SANTO ANTÔNIO
174,316,COLÉGIO ESTADUAL MILTON CARNEIRO
3,81,ESCOLA ESTADUAL DEPUTADO OLÍVIO BELICH
3,100,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
145,392,COLEGIO ESTADUAL PADRE CLAUDIO MORELLI
4,428,ESCOLA MUNICIPAL HEITOR ALENCAR FURTADO
175,189,COLÉGIO ESTADUAL ARLINDO CARVALHO DE AMORIM
2,489,ESCOLA MUNICIPAL ERASMO PILOTTO
2,532,ESCOLA ESTADUAL CRUZEIRO DO SUL
145,289,COLEGIO ESTADUAL LA SALLE
2,505,COLEGIO ESTADUAL PROFESSOR ALGACYR MUNHOZ MAEDER
175,350,COLEGIO ESTADUAL EURIDES BRANDAO
1,417,ESCOLA MUNICIPAL JULIA AMARAL DI LENNA
176,474,COLÉGIO ESTADUAL EMÍLIO DE MENEZES
2,189,COLEGIO NOSSA SENHORA DO ROSARIO
176,487,COLÉGIO ESTADUAL SÃO PEDRO APÓSTOLO
176,105,COLÉGIO ESTADUAL NEWTON FERREIRA DA COSTA
145,713,2194 - COLEGIO ENERGIA ATIVA - PARTICULAR - 145ª ZE - CURITIBA
2,580,COLEGIO ESTADUAL  ERMELINO DE LEAO
145,289,COLEGIO ESTADUAL LA SALLE
145,651,ESCOLA MUNICIPAL PROFESSORA MIRACY RODRIGUES DE ARAUJO
174,396,UFPR - CENTRO POLITÉCNICO
2,335,COLEGIO ESTADUAL CECILIA MEIRELES
4,192,COLEGIO ESTADUAL PAULA GOMES
174,414,COLÉGIO ESTADUAL PROFESSOR JÚLIO MESQUITA
178,370,FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ
3,305,COLÉGIO ESTADUAL CONSELHEIRO CARRÃO
178,104,COLÉGIO IMACULADA CONCEIÇÃO
145,522,1511- ESCOLA MUNICIPAL BAIRRO NOVO CAIC-145ªZE - CURITIBA
4,437,ESCOLA MUNICIPAL MORADIAS DO RIBEIRAO
4,511,COLEGIO ESTADUAL PAULA GOMES
178,702,ESCOLA BAMBINATA
174,396,UFPR - CENTRO POLITÉCNICO
145,838,2194 - COLEGIO ENERGIA ATIVA - PARTICULAR - 145ª ZE - CURITIBA
176,129,CEEBJA DR. FRANCISCO RIBEIRO DE AZEVEDO MACEDO
175,37,COLÉGIO ESTADUAL IVO LEAO
178,104,COLÉGIO IMACULADA CONCEIÇÃO
178,519,FACULDADE PARANAENSE - FAPAR
145,508,1538 - CEI FRANCISCO FRISCHMANN - 145ºZE-CURITIBA
177,460,UFPR -  SETOR DE CIÊNCIAS SOCIAIS APLICADAS
175,371,COLÉGIO ESTADUAL NIRLEI MEDEIROS
178,484,ESCOLA MUNICIPAL CEI PEDRO DALLABONA
177,636,COLEGIO ESTADUAL SANTOS DUMONT
174,353,COLEGIO ADVENTISTA DO BOQUEIRAO
178,100,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
175,404,ESCOLA MUNICIPAL CEI PROFESSOR ANTONIO PIETRUZA
176,558,COLÉGIO SENHORA DE FÁTIMA
3,441,ESCOLA ESTADUAL REPÚBLICA ORIENTAL DO URUGUAI
4,654,ESCOLA MUNICIPAL NOVA ESPERANCA
2,433,ESCOLA MUNICIPAL ENY CALDEIRA
176,109,COLÉGIO ESTADUAL DOM ÁTTICO EUSÉBIO DA ROCHA
145,762,COLEGIO ESTADUAL LUIZ CARLOS PAULA E SOUZA
175,166,COLÉGIO ESTADUAL PROFESSOR BRASILIO VICENTE DE CASTRO
177,170,ESCOLA ESTADUAL JOAO TURIN
4,265,ESCOLA ESTADUAL MARECHAL CANDIDO RONDON
4,265,ESCOLA ESTADUAL MARECHAL CANDIDO RONDON
177,729,COLÉGIO DECISIVO DO CRISTO REI - SUBSEDE I
178,134,PARÓQUIA N. SENHORA DA CONCEIÇÃO (PARÓQUIA BUTIATUVINHA)
145,605,1546 - ESCOLA MUNICIPAL MARINGA - 145ªZE - CURITIBA
4,370,COLEGIO ESTADUAL PAULA GOMES
4,434,ESCOLA ESTADUAL MONSENHOR IVO ZANLORENZI
4,543,COLEGIO ESTADUAL PROTASIO DE CARVALHO
4,333,ESCOLA MUNICIPAL JARDIM SANTOS ANDRADE
178,390,COLÉGIO SION
176,381,ESCOLA MUNICIPAL IVAIPORÃ
176,444,ESCOLA MUNICIPAL JORNALISTA CLAUDIO ABRAMO
178,681,ESCOLA MUNICIPAL CEI PADRE FRANCISCO MESZNER
4,699,UNIVERSIDADE POSITIVO
178,653,COLÉGIO ESTADUAL DOMINGOS ZANLORENZI
174,269,COLÉGIO ESTADUAL PAULINA PACIFICO BORSARI
2,488,ESCOLA MUNICIPAL RAUL GELBECK
145,529,1627 - CEI PROFESSOR JOSE CAVALLIN - 145ª ZE - CURITIBA
2,78,ESCOLA MUNICIPAL ENY CALDEIRA
175,295,ESCOLA MUNICIPAL PROFESSOR DARIO PERSIANO DE CASTRO VELLOZO
145,798,2240-COLEGIO ESTADUAL PROFESSOR GUIDO ARZUA - 145ªZE - CURITIBA
145,786,2240-COLEGIO ESTADUAL PROFESSOR GUIDO ARZUA - 145ªZE - CURITIBA
145,527,CEI JOSE LAMARTINE CORREA DE OLIVEIRA LYRA
1,490,ESCOLA ESTADUAL ERNANI VIDAL
2,448,ESCOLA MUNICIPAL RAUL GELBECK
145,516,1619 - COLEGIO ESTADUAL HASDRUBAL BELLEGARD - 145ª ZE - CURITIBA
175,265,COLÉGIO ESTADUAL PROFESSORA DIRCE CELESTINO DO AMARAL
4,542,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS
3,73,ESCOLA ESTADUAL PROFESSOR NILO BRANDÃO
176,317,COLÉGIO STELLA MARIS XAXIM
176,317,COLÉGIO STELLA MARIS XAXIM
176,283,ESCOLA MUNICIPAL PROFESSORA NAIR DE MACEDO
2,634,COLÉGIO ADVENTISTA UNIDADE BOA VISTA
145,348,COLEGIO ESTADUAL LA SALLE
145,348,COLEGIO ESTADUAL LA SALLE
175,126,ESCOLA MUNICIPAL PRO-MORAR BARIGUI-I
176,467,COLÉGIO ESTADUAL EMÍLIO DE MENEZES
145,594,1813 - COLEGIO ESTADUAL BENEDICTO JOAO CORDEIRO - 145 ª ZE - CURITIBA
2,132,ESCOLA DUNAMYS ENSINO FUNDAMENTAL (PARTICULAR)
145,530,1627 - CEI PROFESSOR JOSE CAVALLIN - 145ª ZE - CURITIBA
145,370,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
145,734,ESCOLA MUNICIPAL PAULO ROGERIO GUIMARAES ESMANHOTO
2,95,SOCIEDADE BENEFICENTE DUQUE DE CAXIAS
1,726,CENTRO REDENTORISTA SANTO AFONSO
145,831,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
4,491,COLEGIO ESTADUAL PAULA GOMES
4,199,COLEGIO ESTADUAL PAULA GOMES
176,95,COLÉGIO ESTADUAL JOSÉ BUSNARDO
1,750,ESCOLA ESTADUAL PROFESSOR CLETO
178,420,CURSO E COLÉGIO ACESSO
3,584,ESCOLA MUNICIPAL PROFESSORA MARIA MARLI PIOVEZAN
3,682,ESCOLA MUNICIPAL PROFESSORA MARIA MARLI PIOVEZAN
178,678,ESCOLA ESTADUAL SANTO ANTÔNIO
174,352,COLÉGIO ESTADUAL PAULINA PACIFICO BORSARI
174,249,COLÉGIO ESTADUAL MILTON CARNEIRO
4,271,ESCOLA ESTADUAL MARECHAL CANDIDO RONDON
1,417,ESCOLA MUNICIPAL JULIA AMARAL DI LENNA
2,514,ESCOLA MUNICIPAL ERASMO PILOTTO
1,428,ESCOLA MUNICIPAL JULIA AMARAL DI LENNA
176,269,COLÉGIO ESTADUAL NEWTON FERREIRA DA COSTA
2,418,COLEGIO ESTADUAL LEONCIO CORREIA
145,821,ESCOLA MUNICIPAL PROFESSORA JURANDYR BAGGIO MOCKELL
175,390,ESCOLA MUNICIPAL RIO BONITO
2,101,COLEGIO ESTADUAL LEONCIO CORREIA
2,131,ESCOLA DUNAMYS ENSINO FUNDAMENTAL (PARTICULAR)
